app_id,title,mechanic_lane,published_date,members_count,playable,core_loop,onboarding,fail_state,meta_layer,monetization_observed,session_loop,visual_level,asset_burden,tech_clone_complexity,procedural_level_potential,improve_cheap,arrow_checks,evidence_level
54579291,"Стрелки: Очисти поле",arrow,2026-05-25,91709,NOT_TESTED,"tap free arrow; it flies off board; open paths for the rest","likely zero; rules fit 3 lines (INFERENCE)","soft: several attempts per level (PUBLIC_INFO from description)","none confirmed","none confirmed; hints and attempts declared only",short sessions (declared),simple,low (procedural mazes),low (grid plus ray check),high (random boards plus solver filter),"exit animation with glow trail; shake of blocked arrow; remaining-counter",wrong-tap NOT_TESTED; lives NOT_TESTED; exit=flies off (declared); 2D (observed promo); rotation NOT_TESTED; no external targets,"description plus card plus 3 promo screenshots pixel-reviewed; gameplay NOT_TESTED"
51871737,"Разбери Кубик",arrow,2024-03-18,88702,NOT_TESTED,"rotate figure; find free cube; tap; cube flies away","promo frames instead of tutorial (OBSERVED)","not confirmed","themes = cube skins (INFERENCE from promo slogan)","none confirmed; no coins or shop on screenshots",short sessions (INFERENCE),medium (wood 3D render),medium (3D renders and figure presets),medium (3D transforms plus 6-axis freedom check),medium (figure presets; solvability harder in 3D),"CSS-3D cube with drag rotation; pop sound on extraction",wrong-tap NOT_TESTED; lives NOT_TESTED; exit=flies away (declared in slogan); 3D yes (observed); rotation declared not observed; no external targets,"description plus card plus 4 promo screenshots pixel-reviewed; gameplay NOT_TESTED"
54579195,"Стрелочки",arrow,2026-05-07,72211,NOT_TESTED,"find free route; tap; path straightens or leaves","likely minimal (INFERENCE)","3 hearts lives (OBSERVED on screenshots)","none confirmed","none confirmed; 2 boosters with green plus (source NOT_TESTED)","long scroll levels (OBSERVED scrollbar)","simple (2D lines; day-night toggle)","low (procedural paths)","low-medium (curve collision check)","high (random tangles plus solver)","exit animation over board edge; pulse of available move",wrong-tap NOT_TESTED; lives=3 hearts (OBSERVED); exit NOT_TESTED on static frames; 2D yes; rotation NOT_TESTED; no external targets,"description plus card plus 4 screenshots (3 real gameplay) pixel-reviewed; gameplay NOT_TESTED"
54184211,"Сортируй Плитки",arrow,2025-10-13,41102,NOT_TESTED,"tap free tile; it slides away; hidden picture fragment opens","first tap on highlighted tile with hand cursor (INFERENCE)","XXX error budget; 2 red X observed (OBSERVED)","picture collection plus crystal currency (OBSERVED plus declared)","currency plus with booster counters (OBSERVED); top-up source NOT_TESTED","level then next picture (INFERENCE)",medium (pixel-art plus juicy UI),medium (hundreds of mosaic pictures = main cost),low (tiles plus ray),medium (layouts generatable; pictures are not),"confetti on revealed fragment; percent-open progress bar; preview album",wrong-tap=XXX penalty (OBSERVED); lives none; exit=disappears over board with motion trail (OBSERVED); picture reveal yes; 2D; rotation NOT_TESTED; no external targets,"description plus card plus 5 real-gameplay screenshots pixel-reviewed; gameplay NOT_TESTED"
54184191,"Лабиринт Стрелок Пазл",arrow,2026-02-24,37107,NOT_TESTED,"move arrows only in shown direction; clear board; reveal picture","likely minimal (INFERENCE)","XXX error budget 0-2 red X observed (OBSERVED)","picture collection (declared)","crystal currency with plus (OBSERVED); hint prices NOT_TESTED","level then next picture (INFERENCE)",medium (target illustrations plus neon paths),medium (picture art),low (tiles plus ray),medium (layouts yes; pictures no),"morph animation tangle-to-contour; zoom to picture on win",wrong-tap=XXX penalty (OBSERVED); lives none; exit NOT_TESTED on static frames; picture reveal yes (paths form silhouette); 2D; rotation NOT_TESTED; no external targets,"description plus card plus 5 real-gameplay screenshots pixel-reviewed; gameplay NOT_TESTED"
54579601,"Разбери Кубик 2026",arrow,2026-05-13,36042,NOT_TESTED,"same as 51871737: sequence planning plus cube extraction","likely minimal (INFERENCE)","not confirmed","coin shop with 8+ cube skins up to 120000 coins (OBSERVED)","coin sink observed; coin source NOT_TESTED; no ruble prices","grind coins then next skin (INFERENCE)",medium (PBR-like skins on promo),medium (8+ skins),medium (3D plus shop),medium (figures presets),"CSS skin variants; progress bar to next skin",wrong-tap NOT_TESTED; lives NOT_TESTED; exit declared; 3D yes; rotation declared not observed; no external targets,"description plus card plus 3 screenshots (shop screen) pixel-reviewed; gameplay NOT_TESTED"
54531151,"Arrow Escape Стрелки Лабиринт",arrow,2026-04-13,30553,NOT_TESTED,"order planning; free path only; blocked rules late-game","likely teaches new rules (INFERENCE from description)","lives declared plus move limits (PUBLIC_INFO from description; NOT_TESTED in game)","boosters and hints declared (PUBLIC_INFO)","declared only; nothing on screenshots","level then next (INFERENCE)","simple-medium (neon promo art)","low (neon paths)","low-medium (blockers = extra ray check)","high (rules plus blockers generatable)","heart life indicator; long-press ray preview",wrong-tap=lose life (DECLARED not observed); lives declared; exit declared; 2D paths; blockers declared; rotation NOT_TESTED; no external targets,"description plus card plus 3 promo screenshots pixel-reviewed; all in-game systems NOT_TESTED"
54698383,"Туда-Сюда: Распутай Рисунок",arrow,2026-08-14,21922,NOT_TESTED,"tap arrow; free path flies off board; clear in order","likely minimal (INFERENCE)","3 hearts lives (OBSERVED)","picture-select screen with 4 neon pictures (OBSERVED)","rewarded-ads eraser with video icon (OBSERVED); coins 1079 with plus (OBSERVED)","finish picture then open next (INFERENCE)",medium (neon pictures),medium (picture set),low-medium (paths plus currency),medium (layouts yes; pictures no),"daily picture; collect-N-series",wrong-tap NOT_TESTED; lives=3 hearts (OBSERVED); exit=flies off (declared); picture-select yes; 2D; rotation NOT_TESTED; no external targets,"description plus card plus 3 screenshots (1 gameplay + UI) pixel-reviewed; gameplay NOT_TESTED"
53992911,"Двигай Цветные Блоки",arrow,2025-08-05,67,NOT_TESTED,"slide block along its arrow to the shredder of its color","likely minimal (INFERENCE)","soft: restart button; no lives or move counter (OBSERVED)","coins plus boosters (OBSERVED)","bomb 75 and wheel 125 coins (OBSERVED); plus-200-coins rewarded video (OBSERVED)","level then next (INFERENCE)",simple-medium (flat polymino top view),low (flat polyminoes),low-medium (slide-to-exit plus color match),high (geometries plus color exits generatable),"shredder suck-in animation; active shredder highlight",wrong-tap NOT_TESTED; lives none; exit=to color shredder (OBSERVED external targets); 2D; direction-change button yes (OBSERVED); blockers none; NO combat/mobs/bosses (OBSERVED),"description plus card plus 3 real-gameplay screenshots pixel-reviewed; gameplay NOT_TESTED"
53131314,"Разбери кубики 3D головоломка",arrow,2025-02-27,35635,NOT_TESTED,"rotate figure; find move; extract cube","likely minimal (INFERENCE)","move budget: moves 25/58/82/126 observed (OBSERVED); skip after 2 restarts declared","level packs 40/60 by difficulty (OBSERVED)","none confirmed; no coins or ads on screenshots","pack progression easy to hard (OBSERVED)",medium (wood 3D clusters),medium (dozens of 3D figures),medium (3D picking plus occlusion plus counter),medium (hand-made claimed; generator plus solver possible),"free drag rotation; ghost highlight of free cube",wrong-tap NOT_TESTED; lives none; exit=yes green cube in flight (OBSERVED); 3D yes; rotation yes (declared plus swipe); numbered special cubes (OBSERVED unexplained); no external targets,"description plus card plus 4 real-gameplay screenshots pixel-reviewed; gameplay NOT_TESTED"
54255702,"Болты и гайки: сортировка",sort,2025-10-27,177003,NOT_TESTED,"move nuts between bolts by color until monochrome stacks","likely hands-on levels 1-3 (INFERENCE)","deadlock no legal moves then restart or booster (INFERENCE)","probably levels-only (INFERENCE)","none confirmed publicly","short 2-5 min sessions (INFERENCE)",medium (pseudo-3D metal),low (parametric bolt/nut sprites times N colors),low-medium (stack logic plus tap-to-move),high (random deals plus solver filter),"nut spin animation; error shake; undo; available-bolt highlight",not arrow checks; sort/screw overlap (title bolts + desc sorting),ESTIMATE MVP 8-12 person-days,"description plus card (5 landscape promo + video preview); screenshots NOT pixel-reviewed; gameplay NOT_TESTED"
54380425,"Яга: Зелья судьбы",sort,2026-06-24,129265,NOT_TESTED,"water sort; coins for orders; build and farm timers; return for harvest","text plus hands-on (INFERENCE)","deadlock plus life cap 30 min (PUBLIC_INFO declared)","orders plus forest renovation plus idle farm plus events/promos/social (PUBLIC_INFO)","coins for orders; 30-min lives; boosters; farm rubies; promos (DECLARED not observed)","sessions plus timer returns (INFERENCE)","above average storybook 2D","medium (characters plus locations plus decor)","core low; full clone with meta medium","levels high (generator plus solver); meta manual","daily order streaks; animated cauldron hub",not arrow checks; richest meta in sample,ESTIMATE MVP core 5-8 person-days and with meta 25-40,"description plus card (4 portrait promo) plus public OK group rules; gameplay NOT_TESTED"
54174190,"Сортировка Болтомания",sort,2025-10-13,96177,NOT_TESTED,"same nut-sort as 54255702 (INFERENCE)","likely hands-on or absent (INFERENCE)","deadlock (INFERENCE)","probably levels-only (INFERENCE)","none confirmed publicly","short sessions (INFERENCE)",basic instrumental 2D/pseudo-3D,low (parametric hardware),low (stack logic),high (random deals plus solver),"undo; bottleneck levels",not arrow checks; nut-sort twin of 54255702,ESTIMATE MVP 8-12 person-days,"description (202 chars) plus card (5 landscape promo); gameplay NOT_TESTED"
54539273,"Разбери Стрелочки",sort,2026-04-16,81470,NOT_TESTED,"sort/remove tiles; reveal picture; advance story chapter","story-driven hands-on (INFERENCE)","probably absent or soft (no pressure positioning)","chapters and level map over 30+ locations plus picture collection (PUBLIC_INFO)","none confirmed publicly","relaxed long sessions (INFERENCE)",medium-plus cozy interior 2D,medium-high (30+ backgrounds and pictures = main cost),low-medium (tile stacks plus reveal mask; 1000+ tiles = perf question),medium (layouts yes; pictures no),"zoom of opened picture; collection album; daily puzzle",TITLE-DESC MISMATCH: arrow title but sort/picture-reveal description (CONFIRMED); whether arrows exist in game NOT_TESTED,ESTIMATE MVP 12-20 person-days without picture content,"description (985 chars) plus card (5 landscape + video); screenshots NOT pixel-reviewed; gameplay NOT_TESTED"
54184207,"Волшебные Бутылки",sort,2026-02-24,57962,NOT_TESTED,"classic water sort to monochrome bottles","how-to-play text plus hands-on (INFERENCE)","deadlock then undo/shuffle/restart (INFERENCE)","probably levels-only plus boosters (INFERENCE)","boosters declared (undo shuffle extra moves); prices NOT_TESTED","short binge sessions (INFERENCE)",clean bright casual 2D,low (parametric bottles),low (simplest clone in sample),high (deals plus solver; handmade claim = marketing),"undo stack; hint highlight; daily",not arrow checks; explicit rules in description; cheapest formula,ESTIMATE MVP 5-8 person-days,"description (964 chars) plus card (4 landscape promo); gameplay NOT_TESTED"
54277449,"Открути и Подумай",screw,2025-11-06,38191,NOT_TESTED,"unscrew in unblocking order; free the planks","hands-on with free-hole teaching (INFERENCE)","deadlock blocked screw (INFERENCE; harsher than sort)","probably levels-only (INFERENCE)","none confirmed publicly","medium stuck-on-deadlock sessions (INFERENCE)","2D wood plus metal pseudo-volume","low-medium (plank shapes)","medium (level generation needs order-solver)","medium (geometry plus order constraints; reject unsolvable)","blocked-screw highlight; unscrew-back; free-hole counter",not arrow checks; pure screw-unblock,ESTIMATE MVP 10-15 person-days,"description (615 chars) plus card (3 landscape promo = thinnest showcase); gameplay NOT_TESTED"
54662458,"Болты Сортировка",screw,2026-07-07,5395,NOT_TESTED,"same as 54277449 plus limited holes (INFERENCE)","probably absent or minimal (INFERENCE; indie signs)","deadlock by board or holes (INFERENCE)","levels-only (INFERENCE)","boosters declared (usiliteli); prices NOT_TESTED","short attempts (INFERENCE)",basic 2D,low (planks plus screws),medium (same order-solver),medium (same as screw twin),"rename (title misleads into sort search); onboarding hints; more screenshots",TITLE-DESC MISMATCH mirror: title says sort but description is screw (CONFIRMED); indie author id861141039,ESTIMATE MVP 10-15 person-days,"description (501 chars) plus card (4 portrait promo); gameplay NOT_TESTED"
54102802,"Тропиквиль",merge,2025-12-16,184116,NOT_TESTED,"merge board; resources; orders; renovate zones; story dialogues","guided merge plus first room (INFERENCE)","energy or board jams not moves (INFERENCE)","city renovation map plus story chapters plus characters plus daily/event (DECLARED)","none confirmed publicly; daily bonuses and events declared","5-15 min; 2-3 visits per day (INFERENCE)","bright tropical casual 2D","medium-high (furniture zones characters; clone needs 1 biome)","medium (merge chains inventory orders progress saves)","orders and rewards yes; merge boards manual","merge pop tweens; coin jump; star shake; renovation progress bar",not arrow checks; external TAPCLAP listing confirmed,ESTIMATE MVP 18-28 person-days,"description plus card (6 landscape + video) plus Google Play listing; screenshots NOT pixel-reviewed; gameplay NOT_TESTED"
54164742,"Мир Слияния",merge,2025-09-25,143777,NOT_TESTED,"merge; stars for orders; renovate cafe in 18 stages; dialogues","2-3 guided merges plus first order (INFERENCE)","energy or cooldowns (INFERENCE)","1 location cafe plus dialogue chapters (DECLARED)","none confirmed publicly","5-10 min (INFERENCE)",cozy 2D,low-medium (1 cafe; stage repaints),low-medium (simple merge plus order book),partial (orders and stars generatable),"before-after stage animation; star burst",not arrow checks; most compact merge formula,ESTIMATE MVP 12-18 person-days,"description plus card (5 landscape + video); gameplay NOT_TESTED"
54419995,"Мой Замок: Слияние и История",merge,2026-01-22,78091,NOT_TESTED,"merge chains; tools; repair castle rooms; story nodes; new territories","soft (own pace declared)","energy or generator cooldowns (INFERENCE)","castle rooms plus artifact collections plus seasons/tournaments (DECLARED)","none confirmed publicly; seasonal events declared","5-12 min (INFERENCE)",medieval 2D,medium (stone/wood/tools easier than tropics),medium (generators with timers plus chains),partial (chains and orders),"rare-item glow; chest shake; sparkle particles",not arrow checks; external RainbowGames Yandex listing confirmed,ESTIMATE MVP 15-22 person-days,"description plus card (5 portrait; NO video) plus Yandex listing; gameplay NOT_TESTED"
54614420,"Остров Слияний",merge,2026-06-15,41342,NOT_TESTED,"merge; orders and stars; build resort; open zones (same formula)","likely guided (INFERENCE)","energy or timers (INFERENCE)","island map plus zones plus characters (DECLARED)","none confirmed publicly","5-12 min (INFERENCE)",beach 2D,medium (few props; many repaints),low-medium (reskin of 54164742 formula),zones-as-skins yes,"waves and palms parallax; water glints",not arrow checks; VK genre Economic; best today rank in merge batch,ESTIMATE MVP 12-20 person-days,"description plus card (5 landscape + video); gameplay NOT_TESTED"
